Week,ARI,ATL,BAL,BUF,CAR,CHI,CIN,CLE,DAL,DEN,DET,GB,HOU,IND,JAX,KC,LA,LAC,LV,MIA,MIN,NE,NO,NYG,NYJ,PHI,PIT,SEA,SF,TB,TEN,WAS
1.0,4,2,7,0,4,2,2,0,5,4,2,3,2,2,3,1,1,3,8,2,1,2,1,2,2,5,4,4,1,1,4,4
2.0,3,3,2,2,3,3,5,1,3,4,5,3,1,1,6,0,3,2,1,1,4,5,2,2,3,1,3,3,4,2,4,6
3.0,7,5,1,0,4,0,2,5,5,3,1,5,2,0,1,2,1,2,4,2,7,1,4,3,2,1,2,2,3,1,1,2
4.0,3,2,4,3,2,2,2,3,1,5,2,5,2,4,1,1,5,4,3,3,2,2,2,3,3,5,3,1,6,4,2,8
5.0,1,0,2,3,4,0,1,0,2,5,1,0,2,4,7,2,0,0,1,3,3,3,0,4,2,2,2,0,4,0,3,1
6.0,1,3,1,2,2,2,1,2,4,4,1,0,5,0,3,1,3,5,4,2,1,6,1,4,2,2,0,1,6,2,6,1
7.0,0,4,2,3,0,1,0,5,0,4,4,4,0,2,3,2,4,4,5,0,2,6,1,1,0,5,2,3,2,5,0,3
8.0,4,2,5,4,5,1,3,2,3,2,2,1,2,4,2,4,2,2,3,5,4,2,3,2,3,2,2,1,0,4,1,1
9.0,1,0,2,2,0,0,2,2,4,0,0,2,6,3,0,3,3,3,0,5,4,0,5,2,1,7,3,0,0,6,3,1
10.0,4,7,5,3,2,2,3,2,2,3,1,3,3,1,3,0,0,3,4,0,3,1,3,8,2,0,2,3,1,1,2,4
11.0,2,0,3,2,2,3,5,3,5,3,2,2,3,0,3,3,4,2,1,3,2,0,0,0,3,3,0,5,1,3,3,2
12.0,5,5,1,0,3,1,2,3,2,4,3,2,2,2,5,0,2,1,3,2,3,3,1,0,1,6,3,1,1,2,3,3
13.0,2,2,0,0,3,0,3,2,8,4,2,3,0,4,0,3,1,0,0,2,0,1,1,0,2,3,3,8,3,5,2,2
14.0,0,1,0,2,0,2,4,1,4,0,4,1,3,2,3,4,5,2,0,3,2,0,1,1,3,3,5,3,1,1,4,0
15.0,1,1,0,3,2,4,1,0,0,2,2,2,3,6,3,2,2,0,4,4,3,1,2,2,3,2,1,2,3,2,3,2
16.0,4,1,5,1,3,1,2,4,1,3,1,5,7,2,2,2,2,3,2,2,3,1,2,2,3,0,1,3,2,1,3,6
17.0,3,3,2,0,0,0,2,2,2,3,1,2,0,2,0,1,5,3,3,3,2,2,1,2,1,1,1,1,2,0,0,2
18.0,0,0,0,2,1,1,0,1,1,0,2,1,1,1,2,0,3,3,3,3,2,0,5,0,1,1,2,1,2,0,3,2
All Weeks,45,41,42,32,40,25,40,38,52,53,36,44,44,40,47,31,46,42,49,45,48,36,35,38,37,49,39,42,42,40,47,50
